Name,description,_geometry
Q1 Far North QLD,REZ,"POLYGON ((146.134921024342 -17.6525573734188,146.071155359954 -17.3826572501234,145.939203506824 -16.8782448057178,145.563787471045 -16.632687611194,145.482014828748 -16.2574973816268,145.453031549803 -16.0599242161361,145.335440298457 -15.2433120213656,145.353484669968 -14.9795935139333,145.345984873483 -14.949225405661,145.221057568268 -14.8325841769855,144.9889789573 -14.7577739673197,144.731687338128 -14.513723460442,144.525011881986 -14.2638008569198,144.437030940215 -14.2474495487135,144.315556139915 -14.3124577920278,144.288057253342 -14.4805315726326,144.337752243678 -14.6760853075257,144.444092123433 -15.0261908872351,144.528696160125 -15.3282427639069,144.669334419922 -15.7635984594542,144.753231865195 -16.1178033123624,144.843389949519 -16.3984052776097,144.919824900715 -16.6521986029761,145.038190886317 -16.9994341878026,145.303426161965 -17.4069639573593,145.422138052507 -17.6477751847968,145.563397640045 -17.8880222380866,145.861765782334 -18.2062996575401,146.00723528309 -18.1252796044416,146.09724544384 -17.9676130573978,146.134921024342 -17.6525573734188))"
Q2 North Qld Clean Energy Hub,REZ,"POLYGON ((143.72014605516 -16.9793813142795,143.530338059476 -16.9891335002163,143.356801946739 -17.02715427299,143.213634960277 -17.0702470831729,143.090996893577 -17.121730879542,142.942891028594 -17.1939716688418,142.801073042552 -17.2995910594242,142.666871503765 -17.4355623261525,142.512400458345 -17.6594968164193,142.424106072827 -17.8646263281559,142.357440844603 -18.091625871388,142.320370672143 -18.3072565315199,142.310868491082 -18.4967884999976,142.322860965736 -18.8313668980844,142.343955525779 -19.0010737589944,142.384603097207 -19.2206406328873,142.45842680164 -19.4738720066068,142.558481418161 -19.7578943255841,142.750677486097 -20.1352336376244,142.977891488556 -20.4493060426282,143.315743061972 -20.7889397269799,143.636920882053 -20.9899868388888,143.85240111877 -21.0724493441085,144.062415901421 -21.1237205347726,144.32444757433 -21.1305018566421,144.700343515533 -21.0849106746996,144.908420012922 -21.0211979918977,145.128834872241 -20.9191905905048,145.379858211001 -20.7323470842307,145.528085212659 -20.5583453645758,145.670619724765 -20.3104960878205,145.781035469784 -19.9423032243149,145.813277508338 -19.5745227201494,145.800575518493 -19.3367482438147,145.738654341728 -18.9898583173756,145.674001431961 -18.6997451288876,145.597677448941 -18.4687935508282,145.507952649391 -18.2670631899122,145.420158850167 -18.1031572438978,145.284307911224 -17.8941774776138,145.28430991471 -17.8929787334388,145.166366914539 -17.740641047265,145.070934685476 -17.6292461309064,144.944443937765 -17.5017400549949,144.796713100012 -17.3762080959787,144.651326314739 -17.2686411946617,144.503867904876 -17.1817471633584,144.502728840296 -17.1817408642679,144.370923092232 -17.1150755859757,144.258408387927 -17.0707282116397,144.128091794156 -17.0316451872551,144.032241562779 -17.0092940503124,143.879553489355 -16.9855255197003,143.72014605516 -16.9793813142795))"
Q3 Northern Qld,REZ,"POLYGON ((146.277823310779 -18.7191955764007,146.252280277294 -18.6858464956671,146.19030900687 -18.6520594278009,146.032905392967 -18.6083798842241,145.922731231103 -18.5951515999976,145.840620703888 -18.6024078794607,145.763519298571 -18.626582135333,145.731512240381 -18.6500221041996,145.713598153016 -18.6715168161891,145.688841008242 -18.7111728778296,145.687340882803 -18.7279581191174,145.688371431839 -18.743568576249,145.694433048767 -18.7728263586649,145.714242881826 -18.8548068677779,145.745855476006 -18.9920879604712,145.77470010174 -19.0559378700924,145.803845770961 -19.097086352534,145.895301632525 -19.2081519447261,146.009509863631 -19.3235503773131,146.092294074379 -19.395959708572,146.176434476306 -19.4604268317375,146.266495481434 -19.5240653125947,146.368904076437 -19.5892830758195,146.449256210851 -19.633814543691,146.55614808551 -19.684060965631,146.663130023853 -19.7251873965605,146.7459471615 -19.752551355013,146.821745286996 -19.7729729373476,146.903547240951 -19.7895285839303,146.984252555765 -19.7956244285623,147.052756972519 -19.7894474581053,147.106055777542 -19.7738769959232,147.143162124563 -19.7517767156495,147.179109046617 -19.7135505947627,147.206794596688 -19.6545104377295,147.212224257715 -19.5861535205562,147.200567207246 -19.5207697273282,147.174753951382 -19.4459834568544,147.154524426748 -19.4064771796137,147.127020490241 -19.3907742322586,147.088041064333 -19.3652552064494,147.059389955796 -19.319412648162,147.047343912427 -19.2962474931956,147.049887068423 -19.272969465533,147.060860818423 -19.2767675583213,147.057782769123 -19.2565035539113,147.044755760304 -19.2277623435624,147.032782405982 -19.2002359146332,147.01303140657 -19.1794085916359,147.023800963464 -19.2110124045242,147.0106614677 -19.2350451998783,146.989491261392 -19.2578634062651,146.971015456874 -19.2844415567035,146.952456032168 -19.3021959895227,146.884249659166 -19.3000699349638,146.845240464761 -19.2738042692506,146.825085907628 -19.263817898243,146.777666763176 -19.1946493219384,146.737400466142 -19.1847131670839,146.70263519407 -19.194942478222,146.638093484683 -19.1762094794767,146.593100399998 -19.1452589648154,146.525981076805 -19.1128542413441,146.465597156813 -19.0814733449807,146.396129478891 -19.0026774097065,146.37830197026 -19.0059099516832,146.35140478505 -18.9691153055685,146.338010258524 -18.9649480045178,146.273398541419 -18.8700211723205,146.273968848803 -18.8122293961914,146.282632958703 -18.7564199851638,146.277823310779 -18.7191955764007))"
Q4 Isaac,REZ,"POLYGON ((147.643664261802 -19.9401487909711,147.521096262814 -20.0631973436051,147.442868755655 -20.1880366117316,147.332853964433 -20.4422564787946,147.264346099658 -20.8076475967685,147.266068716254 -21.2417125571903,147.334882722458 -21.5458726521545,147.483668084434 -21.8432373451551,147.559701513231 -22.0556882474202,147.666746996839 -22.2357669179073,147.765232374817 -22.3906457152577,147.825792008883 -22.5051023779005,147.936176597849 -22.6034856171015,147.944981031112 -22.6118580042763,147.980123269616 -22.6494818065275,148.01111266853 -22.6705027645853,148.059736570003 -22.7001881753956,148.086335902877 -22.712987086736,148.113101090327 -22.7174937635019,148.148271469052 -22.7511268890684,148.197208036262 -22.7683385213106,148.223929779219 -22.7769505104122,148.241622843026 -22.7895990803426,148.27275892678 -22.8024017873558,148.312861430051 -22.8152998747438,148.339534506932 -22.8280313972646,148.357398746052 -22.8323460875751,148.388684501781 -22.8368518298881,148.419830897453 -22.8496685133327,148.460013755964 -22.8584199580661,148.50013764408 -22.8713179760035,148.540270713053 -22.8842104471098,148.567089574114 -22.8886603106665,148.616254036089 -22.8974998377536,148.661003919486 -22.9021213414872,148.705705078296 -22.9108735515367,148.763859629261 -22.9197318858908,148.817589914725 -22.9243752309551,148.848864410382 -22.9329988001053,148.924970706108 -22.9419970201259,149.33705351245 -23.0152305039554,149.841981554946 -22.9428750486868,150.08668362247 -22.785010921341,150.16984883074 -22.6537822259426,150.199291838829 -22.4630394841383,150.18792950152 -22.3254679853735,150.029462620898 -22.1159446802836,149.922132146983 -22.3209995816917,149.991715046189 -22.6223046548369,149.753170675257 -22.4469554593314,149.457481395321 -21.8504673147715,149.465623336589 -21.549196720957,149.195554068482 -21.0632165921029,148.688448760818 -20.6193956372035,148.699285582746 -20.4798603483209,148.787509954547 -20.4433506286531,148.864348412993 -20.5422916667582,148.915798105029 -20.49792038288,148.52394966457 -20.0698621235774,148.43420946633 -20.0646016823086,148.39984655759 -20.1655826761526,148.054733130067 -19.906696378577,148.032692440239 -19.9062907498433,147.997325655606 -19.9139741643297,147.966405782047 -19.9175585632601,147.944303543922 -19.9213072413838,147.909011731325 -19.9206284525845,147.878071944911 -19.9241897310829,147.847174053253 -19.9235737593385,147.811750653357 -19.931195280806,147.794032756542 -19.9349994554282,147.763105784274 -19.934351345951,147.732076206224 -19.9420433516002,147.714350019124 -19.9458419715036,147.683409152382 -19.9451828063918,147.643664261802 -19.9401487909711))"
Q5 Barcaldine,REZ,"POLYGON ((145.820860895085 -23.8427869687334,145.941396608719 -23.7807954083953,146.051196456379 -23.6911907214643,146.164063134979 -23.5414865443753,146.225222898955 -23.4104556901506,146.270839974009 -23.2894595516063,146.300587477793 -23.1302074248774,146.311207830507 -22.9153137155658,146.300300574556 -22.7595215004453,146.265443331115 -22.5852773548145,146.20877338719 -22.4192885681461,146.161112399032 -22.3143347547453,146.095859075297 -22.2032045109522,145.987219517524 -22.0714413222467,145.925893269448 -22.0166346211994,145.866695617424 -21.9721125303637,145.747258771694 -21.9081656082338,145.616682936113 -21.8693732338775,145.490030228525 -21.8648070068232,145.329960168492 -21.9070543582612,145.227422763805 -21.9672070764747,145.145806634055 -22.0362189395674,145.077671923061 -22.1173147624422,145.0276694281 -22.193685259437,144.985775624553 -22.283675553732,144.932973999427 -22.4391806246266,144.903469113232 -22.5550823111217,144.885733812932 -22.7115562005415,144.880576640141 -22.7961478204499,144.88822732227 -22.9461605558687,144.942987985198 -23.1968978297564,145.001888556116 -23.3621071772862,145.10886779098 -23.5424668853221,145.234116850179 -23.6906647170439,145.340138159336 -23.7733683028364,145.457076241245 -23.8304255357566,145.573296678615 -23.8644355593127,145.700398893054 -23.8674023872904,145.820860895085 -23.8427869687334))"
Q6 Fitzroy,REZ,"POLYGON ((149.958604001912 -24.1538218701635,149.996618710727 -24.2544605851739,150.063975629201 -24.3356461330399,150.108193200012 -24.4517426271478,150.189394623249 -24.5146099638619,150.289183719723 -24.5777223368471,150.448704676473 -24.703639848836,150.668953954737 -24.7971561656672,150.909521622871 -24.8453674547802,151.095354346795 -24.8388627859748,151.277177675948 -24.7864022604719,151.425988851892 -24.6625861058562,151.450630134577 -24.4632685286261,151.418591294189 -24.2968386151823,151.395769186807 -24.1429601619417,151.332164128529 -23.9100635230574,151.204054278915 -23.6979713796827,151.04497157781 -23.4775846313834,150.863744948664 -23.2903846930029,150.734844379493 -23.1441130811807,150.682064991121 -23.1229857162298,150.398662942306 -23.0028467246831,150.270346163136 -22.9702100507523,150.127571072658 -22.9944493262256,150.034556612684 -23.0697527426905,149.977224045698 -23.2106820822734,149.924446814092 -23.3597112303708,149.901203541599 -23.5195553302633,149.91219039627 -23.6985681795533,149.916908804797 -23.8437868044704,149.933130004468 -23.9997694654615,149.958604001912 -24.1538218701635))"
Q7 Wide Bay,REZ,"POLYGON ((152.463938280595 -24.9664886104524,152.443879813583 -24.9728218114783,152.410361090365 -24.9731677202041,152.383656761756 -24.9856828109623,152.350237670706 -24.998247440424,152.323577105757 -25.0168508539396,152.296913176314 -25.0354454962342,152.276999692291 -25.0600850320577,152.250377575443 -25.0847766749044,152.243818499853 -25.1031707939481,152.21053249298 -25.1339962377706,152.197263906273 -25.1524230044661,152.177286825617 -25.1708943904534,152.275439210561 -25.0636372286945,152.269174931971 -25.0665432191081,152.261351057435 -25.0708885768533,152.255099837545 -25.0752205120078,152.248848499922 -25.079551670144,152.244182630898 -25.0852964180204,152.234798723031 -25.0910782629491,152.233239046548 -25.0925172293034,152.228585812102 -25.0996872043893,152.227051861036 -25.1039788114332,152.222385038174 -25.1097195606705,152.2177307582 -25.1168857774295,152.211477587506 -25.1212106739117,152.208356902738 -25.1240842164289,152.203700951264 -25.1312459246308,152.197484334853 -25.1398442551868,152.192815401502 -25.1455803802112,152.191292858253 -25.1512946420704,152.185062724343 -25.1584667626067,152.178807109668 -25.1627867800097,152.175685426537 -25.1656595537798,152.167855882245 -25.1699894882562,152.161599479314 -25.1743084536273,152.158502348206 -25.1800316725047,152.15383143557 -25.185765139074,152.150721478184 -25.1900622751615,152.146050139827 -25.1957950838856,152.14139088751 -25.2029528690905,152.136706123813 -25.2072586141235,152.127285224848 -25.2101658915895,152.125747389627 -25.2144506235457,152.125795814211 -25.2201506960913,152.121132280582 -25.2273023998176,152.116455562252 -25.2330283852029,152.111766669055 -25.2373295866884,152.110238955379 -25.2430370034597,152.102411267009 -25.2487807725433,152.099307982475 -25.2544970700644,152.09940142586 -25.2658930700825,152.099448162376 -25.2715907792015,152.090947411751 -25.28749954837,152.084414394827 -25.3119529967017,152.084636613174 -25.3424270311218,152.084947932247 -25.385079914449,152.064983910175 -25.4095775882755,152.058444110961 -25.4339851217524,152.051946329905 -25.4644784495464,152.045403031911 -25.4888782436893,152.032183339723 -25.519412638546,152.032311552281 -25.5376789143115,152.019086846606 -25.5682019457937,152.046662733204 -25.8839626512726,152.065402820494 -25.9601884687823,152.090383551575 -26.033739484137,152.164445213749 -26.1754325660703,152.260924836373 -26.3009275419138,152.3610334807 -26.4124017718601,152.402567111649 -26.4683103640653,152.45931790838 -26.527860239833,152.505134308855 -26.5492558659015,152.548123335135 -26.5580362416486,152.588994747666 -26.5623986116302,152.627397102054 -26.5626601384695,152.669311885293 -26.5556594121664,152.708037743995 -26.5404594991838,152.750974840197 -26.5170431298475,152.78427171136 -26.4913080996664,152.812595598501 -26.4733205270766,152.84645727332 -26.4458495298398,152.868088348189 -26.4223843832821,152.89531233891 -26.4023731786135,152.918644575672 -26.3818978420927,152.95228199915 -26.3634957902466,152.976389963766 -26.3400882315042,152.996315438254 -26.3124998859445,152.998023445355 -26.3122784255489,153.01451939935 -26.2851206268616,153.043598490139 -26.2499930563004,153.05626875452 -26.2107432520477,153.085482512466 -26.1553407558021,153.107858195677 -26.0586633654225,153.128696911849 -25.9057870004633,153.092003911921 -25.7727960514389,153.039754238247 -25.6115951118216,153.001310686858 -25.4888950260534,152.969890560192 -25.4089176404074,152.922844391926 -25.3242683806036,152.864940288211 -25.2410050628191,152.789432512498 -25.1633656569318,152.69249904021 -25.1039970368271,152.644277628498 -25.066574655218,152.577979323813 -25.0130175343127,152.528318764658 -24.9768590390924,152.477346574873 -24.9663460981812,152.463938280595 -24.9664886104524))"
Q8 Darling Downs,REZ,"POLYGON ((150.85196517423 -26.2919405603325,150.763410400105 -26.3111801119004,150.642429724044 -26.3174853328307,150.627488771639 -26.3124273403936,150.614389127568 -26.3124133583728,150.606913683635 -26.310725344578,150.590080976503 -26.3090284963712,150.576992514846 -26.307334010082,150.56950785383 -26.3073256058837,150.55268152196 -26.3056210675263,150.543353675368 -26.3022394619722,150.530289469213 -26.2988443126042,150.519098433201 -26.2954474821851,150.509765136119 -26.2937371833256,150.498551566876 -26.2937021506314,150.489230645359 -26.2903089730088,150.468673594248 -26.2902409202194,150.455590771119 -26.2901995575722,150.446246032886 -26.2901692649206,150.429426167647 -26.2901131752637,150.407025187178 -26.2866725457703,150.386469619906 -26.286599588956,150.367773459219 -26.2865588640975,150.35095076466 -26.2865144894895,150.335998557953 -26.2864735442495,150.311703911106 -26.2864034285737,150.298623644253 -26.2863639153244,150.279940607104 -26.2862996871009,150.263127823815 -26.2862373764648,150.2407127192 -26.2861514894849,150.220167617796 -26.2860695842844,150.201494625402 -26.285974610206,150.173460702189 -26.2891759850819,150.154762629557 -26.2924239452509,150.139798372646 -26.2956936688985,150.122995160022 -26.2955835534197,150.102416011979 -26.3004650936137,150.079996432591 -26.3019414397735,150.0706455814 -26.303536454424,150.059397978584 -26.3084806317278,150.046210134971 -26.3218240882235,150.027374334676 -26.34017004802,150.014188639658 -26.3535735899654,150.00851525774 -26.3619605406723,150.000989494455 -26.3686554557756,149.993464380333 -26.3753522053232,149.985939756036 -26.3820472550325,149.976577277859 -26.3853659674945,149.961570225647 -26.3936865354834,149.95220353574 -26.3969712140141,149.940923579037 -26.4052742934598,149.925902380359 -26.4135216209817,149.918368030746 -26.4201615754734,149.910817598085 -26.4284789657668,149.901397834741 -26.4367773542334,149.897567759209 -26.4468073679285,149.893768295523 -26.4534812464635,149.886244103036 -26.4584340278233,149.882423024074 -26.4667677613963,149.876765621737 -26.4717351234763,149.869177487043 -26.4833981279064,149.86344423647 -26.4967614152755,149.855873587384 -26.5067550792515,149.848316504341 -26.5150670896805,149.84079024915 -26.5200243177838,149.835100556427 -26.5283505501286,149.833100905665 -26.5417388432808,149.829240392199 -26.5534173891596,149.829170709796 -26.5601099224321,149.829021080933 -26.5751823998029,149.828910001011 -26.5869149352206,149.828767148303 -26.6019977511143,149.822991472651 -26.6186910742811,149.822863150105 -26.6320923554753,149.820852115583 -26.6454540580085,149.817002530841 -26.6554495377997,149.81689826318 -26.6654857495783,149.814935594428 -26.6738244778557,149.814806695297 -26.685522030053,149.814677694217 -26.6972198386452,149.81456713517 -26.7072465617737,149.814456560707 -26.7172734334428,149.814335456844 -26.7289823193665,149.814198368067 -26.7423650651212,149.814095581372 -26.7524014595641,149.81400965822 -26.760764592008,149.813940590846 -26.7674544741096,149.819456963466 -26.7775423557575,149.824922543894 -26.7926459660069,149.832313788309 -26.802749238565,149.83784805993 -26.8111606237324,149.847109306373 -26.8212735530383,149.858205597795 -26.8347387006126,149.865626872112 -26.8414858967502,149.871176019865 -26.84821694332,149.876691100011 -26.8582895538533,149.889684823022 -26.8700967532118,149.900842318167 -26.8785464328208,149.908253559901 -26.8869638703443,149.915682204308 -26.8937098159826,149.92312882569 -26.8987849283391,149.930575988363 -26.9038597123446,149.938039105594 -26.9072622845257,149.94734432193 -26.9140210729397,149.954792151884 -26.9190930942309,149.964114498907 -26.9241792388105,149.973453123491 -26.9275936122641,149.990241845717 -26.9360769130211,149.993974513452 -26.9377760555588,150.00886054986 -26.9495839235186,150.023748421952 -26.961388503595,150.031200981605 -26.9664547286512,150.040528667639 -26.9715337940922,150.0517316153 -26.9766255139316,150.062906384987 -26.9850577259852,150.483716962272 -27.121129683908,150.619961148275 -27.2309386655847,150.713658080016 -27.3558278207182,150.768442672997 -27.5224373797549,150.772005615537 -27.6586923858136,150.732223482702 -27.8591453332804,150.701430938556 -28.0178716201443,150.674097817645 -28.2017810625621,150.724318058663 -28.2903603605195,150.788816018535 -28.3882642270101,150.939480770731 -28.5558197272249,151.131282474358 -28.6821707991781,151.322916343782 -28.7529708999701,151.505448595931 -28.7610996009164,151.647473660326 -28.7374574718065,151.782881811983 -28.6796298207777,151.9202101796 -28.6093062937513,152.040878824579 -28.5145624486141,152.173639652468 -28.3915655370043,152.252810043925 -28.2702301923958,152.311966924505 -28.1567012719749,152.347050099842 -28.0673242299723,152.387978207033 -27.9435256980561,152.415956685563 -27.8190732219032,152.445477800477 -27.5454162370277,152.420557260897 -27.2697026504392,152.352824781416 -27.0219527105552,152.252618746804 -26.8103122086588,152.143171507949 -26.6624317233247,151.977483531804 -26.5138886240607,151.866723754064 -26.4447023535117,151.722471927184 -26.3961726198769,151.566057455767 -26.3764525641552,151.486959246848 -26.3753173715064,151.4869343729 -26.3746266867535,151.255294139987 -26.3495939437543,151.082177345537 -26.3245254563396,150.85196517423 -26.2919405603325))"
Q9 Banana,REZ,"POLYGON ((149.138125903528 -23.3149223200435,148.909306641489 -23.3151918845267,148.682393681518 -23.3383076522675,148.480296483216 -23.3838096350844,148.305537239956 -23.5368113457376,148.296284559266 -23.6590046793244,148.291161273439 -23.7499992691797,148.295366845124 -23.8556539705829,148.298571045227 -23.9530649210643,148.30167519966 -24.049877334188,148.307243088366 -24.1683714856067,148.30970499581 -24.1905105847637,148.313803632599 -24.2273494884414,148.317078284662 -24.2567677507843,148.314480432739 -24.3008459168048,148.325221162522 -24.33007990154,148.32841569683 -24.3592668960832,148.324881871262 -24.3956967346982,148.325679952855 -24.4029723950137,148.327732068237 -24.4120677193398,148.332083734691 -24.4240802025541,148.332777451589 -24.441051881097,148.341343787233 -24.4715604236116,148.347335790241 -24.4897527908315,148.348374823072 -24.5033818688833,148.351260314688 -24.5169644502009,148.354218547303 -24.5262023179041,148.355786351277 -24.5511958054506,148.358967283521 -24.5695077657179,148.368119835957 -24.5889162719598,148.37424402613 -24.6001499804889,148.377293409018 -24.6175989369173,148.38918633983 -24.6429321056913,148.396628517648 -24.6584948494139,148.408842074265 -24.6842594379974,148.442607991645 -24.7199204920123,148.461333659746 -24.7554982472843,148.482999042176 -24.8193582397339,148.527764120728 -24.8900267288847,148.54636446415 -24.9252536417014,148.580590288465 -24.9674136264923,148.598439919917 -24.9954979791571,148.616999077708 -25.0305447162517,148.634751839027 -25.0584775341701,148.659842301939 -25.0862737744127,148.671488471475 -25.1280213130299,148.70532652139 -25.1695425731766,148.731664280905 -25.2109646520334,148.755873777999 -25.2315390818705,148.782123694554 -25.2727949646888,148.800283828654 -25.3071317786431,148.816998188445 -25.3275999565499,148.841685304363 -25.3548057396015,148.850343000857 -25.3684261980242,148.873039898037 -25.3882417677559,148.888679105013 -25.4040616959597,148.897740729982 -25.4159442366189,148.906116003719 -25.4256784883902,148.916976786046 -25.4347545956796,148.968839527253 -25.4560232912445,148.993977488781 -25.4897737391905,149.017830081492 -25.5098888369566,149.042909130203 -25.5435299852978,149.059403344207 -25.5636649603206,149.084403844236 -25.5971799244047,149.108141058504 -25.6171347834947,149.139798462907 -25.6437295763021,149.171406559918 -25.6702648432825,149.187765401154 -25.6902078626292,149.228314354024 -25.7366158466242,149.284495574478 -25.7960314364028,149.347249234239 -25.8484717372042,149.378002606504 -25.8679740843076,149.408729203878 -25.8874460924371,149.43157440562 -25.9003408469341,149.446038615077 -25.9000777827666,149.506111681442 -25.9255298856181,149.550609496333 -25.9379925862871,149.580625851747 -25.9507002180059,149.610072875107 -25.9567750814961,149.624517336309 -25.9565011856698,149.66171109425 -25.9690369102636,149.705014677306 -25.9681944378597,149.749374887521 -25.9805532067307,149.778210314843 -25.9799653230089,149.808079672184 -25.99256102997,149.837405385952 -25.9985427517272,149.851802401247 -25.9982326454956,149.881630881265 -26.0107941645306,149.940703901242 -26.0292712369238,149.977654065603 -26.0416128635479,150.021268963311 -26.0472036515137,150.057680876261 -26.0529444726393,150.10795155042 -26.0517702316187,150.159133337837 -26.0636710268614,150.202629700887 -26.0691594750102,150.274300143841 -26.0673501335169,150.317288614918 -26.0662478129683,150.360726151502 -26.0716855744397,150.382209103625 -26.0711235002706,150.418002750618 -26.0701793361668,150.482376902417 -26.0684009430626,150.532420703618 -26.066983202171,150.582891643096 -26.0720993385427,150.618623795475 -26.0710705581842,150.647206176603 -26.0702421899452,150.675784131535 -26.069407375789,150.725786835317 -26.0679338522752,150.761496258069 -26.0668712482974,150.790059247371 -26.0660155404234,150.840416137753 -26.0709924843262,150.883590196028 -26.0761227114501,150.919229018832 -26.0749439637389,150.954865164476 -26.0737566903687,150.97624597105 -26.0730401097149,151.011878075355 -26.0718391152316,151.047507403239 -26.0706295022724,151.09738451205 -26.0689206079254,151.125886840486 -26.0679375899805,151.161513877791 -26.0667168704428,151.1900064753 -26.0657180690819,151.22524759854 -26.0579107069829,151.246248439266 -26.0506066054275,151.296106575762 -26.048803575295,151.324236959803 -26.0412269931711,151.345248429081 -26.0339041740299,151.380157662726 -26.0195061667678,151.407594072422 -25.9987614525859,151.434694378695 -25.9714053483629,151.447903426298 -25.9511289518358,151.467558585629 -25.9173775798168,151.480096339337 -25.8838376233909,151.49264734469 -25.8502415294061,151.512015029434 -25.8096891351348,151.5106406486 -25.783150538323,151.515731213532 -25.7430061314805,151.521514965812 -25.716107858382,151.527302682254 -25.6891639650196,151.532757036325 -25.6555165998674,151.538556261096 -25.6284993909846,151.536847790997 -25.5950272983762,151.536505853738 -25.588326524312,151.533768547937 -25.5346370079669,151.532397926102 -25.5077388626246,151.530340427314 -25.4673251530313,151.528623269948 -25.4335850297066,151.512169223469 -25.3935642557304,151.496735257176 -25.3737916086834,151.473036611384 -25.3339261343819,151.449665674857 -25.3007807517378,151.419766229822 -25.2814498283421,151.403912556953 -25.2547431915917,151.367119736482 -25.2424443673211,151.32272339282 -25.2235662920658,151.307917622097 -25.2172668878985,151.263848859211 -25.2051460882613,151.226963798369 -25.1926777337854,151.204515524506 -25.1797015194486,151.190058300971 -25.1801901891763,151.131445714804 -25.1684442913526,151.072401946287 -25.1498136480801,151.043063404676 -25.1439179934343,151.013309535764 -25.1311386711469,150.983947531714 -25.125210484494,150.946916870477 -25.1126166095559,150.932014977313 -25.1061955467072,150.895377146199 -25.1004685916633,150.858727233549 -25.0947306818116,150.82163431791 -25.08208164682,150.799448184052 -25.0758447064934,150.769563934328 -25.0629135990661,150.725149080368 -25.0504014340788,150.695673150862 -25.0443512085595,150.658024319737 -25.0246620849116,150.620344200977 -25.0049413068918,150.59036214544 -24.991916850208,150.567170097863 -24.9717231904714,150.499361256811 -24.9388164067195,150.461966770452 -24.9257971046725,150.417188434694 -24.9127990681889,150.394289708267 -24.899292540499,150.364068097266 -24.88593042504,150.341639528371 -24.8794008813297,150.310874886984 -24.8589946475891,150.280080894524 -24.838555962142,150.234117472359 -24.8114052364776,150.188129619822 -24.7842521166757,150.157265039614 -24.763769153978,150.13317917896 -24.7360459387605,150.110125077042 -24.7224033340008,150.069718110807 -24.6737041594847,150.037064868335 -24.6316928547302,150.019598808226 -24.5963831520413,150.002655168924 -24.5681211224294,149.992506290039 -24.5325253548518,149.976085008133 -24.5113233887479,149.960211294537 -24.4972616028666,149.919915798746 -24.4548652461205,149.894903965951 -24.4192966121228,149.870430656489 -24.3908625101174,149.861306175231 -24.3693465377889,149.828802053123 -24.333719476338,149.811656531079 -24.3050121289508,149.787074999134 -24.2763782276694,149.769864483355 -24.2475368287052,149.752584685357 -24.2185611393594,149.7272326744 -24.182316017536,149.721951874523 -24.1538156633559,149.71251883337 -24.1230932091377,149.704359810362 -24.0871072270127,149.690106567418 -24.0060814234634,149.675283960526 -23.9174468325638,149.62740941366 -23.7080546261075,149.574263073272 -23.5268411158738,149.331789058041 -23.3527095849268,149.138125903528 -23.3149223200435))"
N1 North West NSW,REZ,"POLYGON ((149.638619053853 -28.7805845591374,149.577731895222 -28.8385270682097,149.527044971257 -28.9031327614527,149.463888458299 -29.0207293771083,149.38069261017 -29.3170933625835,149.338024344223 -29.5428421829582,149.315236133641 -29.7918840056252,149.300380725548 -30.1014494129376,149.289467420838 -30.30254515533,149.291700004635 -30.4900494936979,149.296803255646 -30.6037342662464,149.318940288729 -30.7252433417346,149.360518857585 -30.8450942749617,149.36052944742 -30.8457597776877,149.413924142254 -30.9329934628417,149.469072004933 -30.9828933595954,149.540335298129 -31.0199178081927,149.625366248764 -31.0434173477582,149.732258908535 -31.0592719590172,149.732876594166 -31.0587257481099,149.826942400269 -31.0615462254679,149.826922081446 -31.06047367938,149.903800069457 -31.054417539044,149.977843220162 -31.0360573705472,150.051524474632 -31.0048287793864,150.13827976427 -30.948726792392,150.201128975658 -30.8790423468727,150.257176970365 -30.7747645710203,150.283165299236 -30.7055246623458,150.315064351843 -30.588648704601,150.334762518147 -30.4408137313721,150.336919307905 -30.1200874327872,150.332505705609 -29.7141525427023,150.3164928923 -29.2793129333719,150.294866776517 -29.0917231134083,150.269576280152 -28.9861729535889,150.222116062918 -28.872624165878,150.186042023527 -28.823151712679,150.147473164165 -28.7843203864705,150.090089350104 -28.7483355873275,149.995828975266 -28.7208127717311,149.893684348485 -28.7102606834857,149.811053080672 -28.7114419198609,149.712361906206 -28.7369938513607,149.638619053853 -28.7805845591374))"
